iter	Passed	Remaining
0	3601	3598178
1	7406	3695871
2	11188	3718451
3	14994	3733600
4	19174	3815736
5	22982	3807421
6	26875	3812542
7	31223	3871657
8	35061	3860608
9	35153	3480152
10	38966	3503459
11	43127	3550840
12	47391	3598087
13	51206	3606410
14	55368	3635854
15	59818	3678853
16	64237	3714443
17	64459	3516602
18	68875	3556174
19	72980	3576053
20	73069	3406446
21	77440	3442572
22	81297	3453395
23	85741	3486819
24	90143	3515590
25	94487	3539631
26	98673	3555915
27	102277	3550491
28	106676	3571832
29	109927	3554330
30	114224	3570439
31	118628	3588501
32	122764	3597372
33	126460	3592972
34	130858	3607953
35	131235	3514204
36	135577	3528675
37	139396	3528931
38	143700	3540928
39	148036	3552868
40	151868	3552246
41	156271	3564488
42	160719	3576939
43	165146	3588172
44	169011	3586796
45	173159	3591168
46	177355	3596170
47	181824	3606187
48	186282	3615398
49	190522	3619936
50	194431	3617943
51	198303	3615222
52	202482	3617933
53	206297	3614028
54	210107	3610023
55	214500	3615873
56	218910	3621625
57	223079	3623126
58	226945	3619590
59	231338	3624310
60	235130	3619467
61	239466	3622898
62	243821	3626354
63	248126	3628853
64	251957	3624306
65	256068	3623761
66	260393	3626076
67	264783	3629088
68	267952	3615422
69	272268	3617286
70	276037	3611812
71	280362	3613555
72	284173	3608611
73	288376	3608602
74	292817	3611416
75	296677	3606976
76	301087	3609140
77	305518	3611386
78	309918	3613095
79	313684	3607369
80	318132	3609425
81	322072	3605646
82	325891	3600512
83	330286	3601695
84	334109	3596594
85	338361	3596073
86	342522	3594517
87	346666	3592720
88	351021	3593043
89	355310	3592581
90	359706	3593110
91	363522	3587809
92	367282	3581992
93	371641	3581994
94	376025	3582138
95	380477	3582834
96	386735	3600225
97	390535	3594520
98	394900	3593994
99	399281	3593532
100	403126	3588223
101	407293	3585778
102	411450	3583216
103	415260	3577626
104	419050	3571908
105	424682	3581751
106	429029	3580591
107	433468	3580128
108	437794	3578669
109	442127	3577211
110	448188	3589542
111	452356	3586541
112	456716	3585021
113	460533	3579231
114	464840	3577247
115	469015	3574222
116	475815	3590982
117	479604	3584843
118	484072	3583767
119	488482	3582206
120	493980	3588500
121	498175	3585229
122	504365	3596165
123	509848	3601835
124	516617	3616324
125	521661	3618509
126	526014	3615832
127	530423	3613507
128	534807	3610986
129	539144	3608117
130	545049	3615630
131	548839	3609037
132	553226	3606369
133	558639	3610310
134	562539	3604417
135	568143	3609383
136	574198	3617032
137	580235	3624370
138	586402	3632322
139	590217	3625623
140	595826	3629896
141	599595	3622905
142	603375	3616031
143	609269	3621766
144	614147	3621355
145	619768	3625220
146	625251	3628160
147	630660	3630559
148	635096	3627294
149	640492	3629456
150	644810	3625456
151	648657	3618825
152	654668	3624211
153	658589	3617963
154	664199	3620960
155	669774	3623651
156	675388	3626449
157	680321	3625508
158	684207	3618984
159	688587	3615084
160	694375	3618516
161	698611	3613803
162	705534	3622899
163	709311	3615759
164	713055	3608495
165	718331	3608967
166	722206	3602382
167	726398	3597400
168	730734	3593136
169	737322	3599866
170	742699	3600571
171	748648	3603960
172	755181	3610028
173	760967	3612410
174	765109	3606942
175	771207	3610654
176	774793	3602571
